Name,Main_Language,Location,Date,Pushed_to_repos,Main_languages,Tota_issues,Total_forks,Total_stars,Followers,Following
aws,Python,"Seattle, WA",28/08/2012,100 ,18 ,6864 ,18849 ,66134 ,0 ,0 
FormidableLabs,JavaScript,"Seattle, WA",24/07/2013,100 ,9 ,1377 ,5095 ,76471 ,0 ,0 
NVIDIA,Python,"Santa Clara, CA",11/05/2012,100 ,13 ,2745 ,14448 ,77264 ,0 ,0 
Shopify,Ruby,,22/04/2008,100 ,13 ,1962 ,7005 ,56958 ,0 ,0 
GoogleCloudPlatform,Go,,16/11/2012,100 ,16 ,2723 ,23730 ,41150 ,0 ,0 
uber,JavaScript,70+ countries and counting.,28/12/2010,100 ,18 ,2385 ,7838 ,71545 ,0 ,0 
pallets,Python,,18/01/2016,16 ,2 ,393 ,18849 ,79045 ,0 ,0 
webpack,JavaScript,,7/08/2012,47 ,2 ,1148 ,13615 ,78052 ,0 ,0 
socketio,JavaScript,Automattic,17/01/2015,24 ,5 ,1628 ,16813 ,78299 ,0 ,0 
reactjs,JavaScript,Everywhere,16/01/2014,82 ,4 ,2322 ,17456 ,77745 ,0 ,0 
atom,JavaScript,"San Francisco, CA",29/09/2011,100 ,6 ,4182 ,21445 ,68513 ,0 ,0 
mapbox,JavaScript,Washington DC,5/02/2011,100 ,14 ,4125 ,9202 ,41347 ,0 ,0 
Ramotion,Swift,"San Francisco, CA",25/11/2013,39 ,5 ,175 ,8926 ,73635 ,0 ,0 
ansible,Python,,7/03/2012,98 ,8 ,8681 ,33655 ,71378 ,0 ,0 
spotify,Java,"Stockholm, Sweden",24/04/2010,100 ,18 ,2034 ,9307 ,55480 ,0 ,0 
Babel,JavaScript,Flavortown,9/11/2014,58 ,3 ,1649 ,8454 ,69977 ,0 ,0 
FortAwesome,JavaScript,"Cambridge, MA",6/03/2012,15 ,6 ,5568 ,11448 ,69551 ,0 ,0 
apachecn,HTML,China,28/12/2016,76 ,8 ,281 ,15834 ,49315 ,0 ,0 
ossu,JavaScript ,,4/10/2015,11 ,2 ,68 ,10880 ,69696 ,0 ,0 
tc39,HTML,The web,10/05/2012,100 ,4 ,1632 ,3286 ,55172 ,0 ,0 
segmentio,JavaScript,"San Francisco, CA",31/05/2011,100 ,13 ,1144 ,4181 ,41238 ,0 ,0 
HubSpot,Java,"Cambridge, MA",8/07/2010,100 ,11 ,975 ,5006 ,40400 ,0 ,0 
Bilibili,C,"Shanghai, China",18/04/2015,53 ,13 ,3131 ,14521 ,67563 ,0 ,0 
moby,Go,,11/04/2017,19 ,4 ,4393 ,18348 ,65903 ,0 ,0 
udacity,Jupyter Notebook,"Mountain View, CA",3/07/2012,100 ,16 ,14122 ,106276 ,28420 ,0 ,0 
jenkinsci,Java,"Santa Clara, CA",22/07/2009,97 ,5 ,870 ,12389 ,22612 ,0 ,0 
GoogleChrome,JavaScript,,26/05/2012,30 ,7 ,1593 ,17771 ,64140 ,0 ,0 
GoThinkster,JavaScript,,31/08/2014,59 ,17 ,693 ,11930 ,64296 ,0 ,0 
Unity-Technologies,C++,"Copenhagen, Denmark",4/10/2010,99 ,12 ,1350 ,10251 ,41698 ,0 ,0 
Semantic-Org,JavaScript , New York,29/10/2013,72 ,3 ,1561 ,10767 ,61969 ,0 ,0 
codrops,JavaScript,,21/06/2010,99 ,3 ,392 ,6641 ,27611 ,0 ,0 
firebase,Java,"San Francisco, CA",17/01/2012,81 ,16 ,2028 ,26501 ,60971 ,0 ,0 
linkedin,Java,"Sunnyvale, CA, USA",8/08/2010,100 ,12 ,1998 ,9565 ,52985 ,0 ,0 
akveo,TypeScript,Minsk,13/04/2015,27 ,6 ,2193 ,14047 ,60505 ,0 ,0 
eclipse,Java,,23/02/2009,100 ,12 ,11305 ,15578 ,38514 ,0 ,0 
mongodb,Go,,9/01/2009,100 ,20 ,971 ,17360 ,55291 ,0 ,0 
django,Python,Internet,7/10/2008,19 ,4 ,616 ,23857 ,59380 ,0 ,0 
mui-org,JavaScript,the browser,15/11/2017,6 ,2 ,525 ,16859 ,59509 ,0 ,0 
graphql,JavaScript,"Menlo Park, CA",20/06/2015,18 ,5 ,660 ,6494 ,58520 ,0 ,0 
didi,Java,"Beijing, China",15/04/2017,49 ,16 ,469 ,8534 ,58075 ,0 ,0 
