Name,Main_Language,Location,Date,Pushed_to_repos,Main_languages,Tota_issues,Total_forks,Total_stars,Followers,Following
Blankj,Java,Hangzhou,21/03/2016,42 ,5 ,198 ,11794 ,42141 ,3623 ,9 
prakhar1989,JavaScript,"San Francisco, CA",4/03/2011,94 ,20 ,223 ,9864 ,41694 ,4684 ,112 
mathiasbynens,JavaScript,Germany,7/05/2009,96 ,7 ,478 ,10780 ,35643 ,8924 ,155 
NARKOZ,Ruby,"Baku, Azerbaijan",27/04/2010,84 ,10 ,88 ,6983 ,41217 ,4420 ,14 
fogleman,Go,"Cary, NC",13/12/2010,100 ,9 ,406 ,3822 ,39292 ,3944 ,7 
maxogden,JavaScript,,11/12/2008,92 ,10 ,569 ,3446 ,29252 ,6213 ,820 
ageitgey,Python,Various places,6/07/2011,38 ,10 ,549 ,10401 ,40414 ,2841 ,1 
ziishaned,JavaScript,"Dubai, UAE",12/12/2015,46 ,9 ,115 ,5211 ,40352 ,749 ,94 
bvaughn,JavaScript,"Mountain View, CA",18/10/2008,89 ,5 ,537 ,3696 ,39529 ,5292 ,1 
unknwon,Go,"Hangzhou, China",3/12/2012,39 ,5 ,73 ,10516 ,40037 ,9962 ,4 
gaearon,JavaScript,,26/05/2011,96 ,7 ,450 ,5015 ,37777 ,56883 ,171 
karan,JavaScript,Seattle,14/01/2013,98 ,13 ,505 ,11377 ,39481 ,3448 ,0 
JedWatson,JavaScript,Sydney,24/06/2011,87 ,6 ,1610 ,5135 ,38841 ,3408 ,23 
Trinea,Java,HangZhou,3/11/2011,17 ,3 ,80 ,16973 ,38493 ,16286 ,38 
scutan90,,,11/09/2017,3 ,0 ,80 ,12068 ,38371 ,1913 ,1 
mgechev,TypeScript,"San Francisco, CA",27/10/2010,97 ,7 ,159 ,5158 ,31349 ,6743 ,2 
Dogfalo,JavaScript,,12/11/2012,16 ,5 ,769 ,4895 ,37665 ,1022 ,0 
ryanmcdermott,JavaScript,San Francisco,30/07/2013,31 ,12 ,51 ,4625 ,37937 ,1305 ,4 
soimort,Python,"Home, Earth",25/07/2010,46 ,17 ,433 ,7030 ,37766 ,2126 ,45 
alvarotrigo,JavaScript,"Cambridge, UK",5/05/2012,41 ,8 ,333 ,8480 ,37663 ,2572 ,10 
ripienaar,Go,Malta,8/05/2009,97 ,7 ,81 ,4220 ,37107 ,1078 ,0 
onevcat,Swift,"Kawasaki, Japan / China",2/09/2011,82 ,15 ,250 ,5158 ,34699 ,13155 ,129 
defunkt,Ruby,,20/10/2007,90 ,8 ,522 ,5683 ,36386 ,20991 ,210 
juliangarnier,,Paris,17/12/2011,9 ,1 ,142 ,3085 ,36433 ,2342 ,6 
greenrobot,Java,Berlin,12/04/2010,16 ,2 ,351 ,7573 ,36160 ,5261 ,0 
vsouza,Go,Brazil,17/11/2010,30 ,9 ,6 ,6119 ,36080 ,1121 ,298 
caolan,JavaScript,"Sheffield, UK",5/04/2008,94 ,13 ,434 ,3380 ,35513 ,2191 ,51 
